CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2024] SGHCF 23,Family Law — Child —Relocation,2024,https://www.elitigation.sg/gd/s/2024_SGHCF_23,5968,48,Mavis Chionh Sze Chyi J,Kulvinder Kaur and Kalvinder Kaur (I.R.B. Law LLP) for the appellant The respondent in person.
[2024] SGHC(I) 14,Companies — Oppression — Minority shareholders,2024,https://www.elitigation.sg/gd/s/2024_SGHCI_14,8742,0,Kannan Ramesh JAD,"Dhillon Dinesh Singh, Loong Tse Chuan, Lim Dao Kai, Mak Sushan Melissa (Mai Sushan), Dhivya Rajendra Naidu, Chee Yi Wen Serene and Jung Sol (Allen & Gledhill LLP) for the plaintiff Toh Kian Sing SC, Cheng Wai Yuen Mark, Soh Yu Xian Priscilla, Lim Wee Teck Darren, Liu Yulin and Mao Zhi Chao @ Mao Zhihong (Rajah & Tann Singapore LLP) for the first defendant Jimmy Yim Wing Kuen SC, Manoj Belani, Sia Tian Wa Jeremy Marc, Chloe Shobhana Ajit and Samuel Wittberger (Drew & Napier LLC) for the second defendant."
[2024] SGHC 131,"Criminal Law — Offences — Sexual offences, Criminal Procedure and Sentencing — Sentencing — Principles
",2024,https://www.elitigation.sg/gd/s/2024_SGHC_131,5343,55,Hoo Sheau Peng J,"Lee Zu Zhao, See Yup Queen Janice and Ngian Jia Xian June (Attorney-General's Chambers) for the Prosecution Gino Hardial Singh (Abbots Chambers LLC) for the accused."
[2024] SGHCF 22,"Family Law — Maintenance — Child, Family Law — Matrimonial assets — Division — Whether there was a failure to make full and frank disclosure, Family Law — Custody — Access — Whether father's access was akin to shared care and control over child with mother",2024,https://www.elitigation.sg/gd/s/2024_SGHCF_22,5941,68,Mavis Chionh Sze Chyi J,"Decruz Martin Francis (Shenton Law Practice LLC) for the plaintiff Tan Yee Tat, Lim Junchen Xavier and Alvina Chitra Logan (Yeo & Associates LLC) for the defendant."
[2024] SGCA 18,Criminal Procedure and Sentencing — Criminal review ,2024,https://www.elitigation.sg/gd/s/2024_SGCA_18,2896,32,Tay Yong Kwang JCA,Ong Ying Ping (Ong Ying Ping Esq) for the applicant Wong Woon Kwong SC and Sarah Siaw (Attorney-General's Chambers) for the respondent.
[2024] SGCA(I) 2,"Arbitration — Arbitral tribunal — Jurisdiction
, Arbitration — Award — Recourse against award — Setting aside",2024,https://www.elitigation.sg/gd/s/2024_SGCAI_2,3518,49,Robert French IJ,"Cavinder Bull SC, Lim Gerui, Tan Yuan Kheng (Chen Yuanqing), Lea Woon Yee, Tan Jui Yang Benedict, Kenneth Sean Teo Hao Jin (Drew & Napier LLC), Junwoo Kim (alias Junu Kim) and Han Gil Lee (Bae, Kim & Lee LLC) (Korean law) for the appellant Chan Hock Keng, Chen Chi, Ng Wei Qi (WongPartnership LLP) and Eun Nyung Lee (Yulchon LLC) (Korean law) for the first and second respondents."
[2024] SGHC 130,"Insolvency Law — Winding up — Application by liquidator for authorisation to appoint solicitors — Whether the court has the power to grant retrospective authorisation of a liquidator's appointment of solicitors — Section 144(1)(f) of the Insolvency, Restructuring and Dissolution Act 2018 (2020 Rev Ed), Insolvency Law — Winding up — Funding by creditors — Approval of funding agreement — Assignment of proceeds of company's cause of action — Sections 144(1)(g) and 144(2)(b) of the Insolvency, Restructuring and Dissolution Act 2018 (2020 Rev Ed)
Insolvency Law — Winding up — Funding by creditors — Application for prospective advantage — Distinction between applications for prospective advantage and applications for retrospective advantage — Section 204(3) of the Insolvency, Restructuring and Dissolution Act 2018 (2020 Rev Ed)",2024,https://www.elitigation.sg/gd/s/2024_SGHC_130,11904,142,Aedit Abdullah J,"Tham Wei Chern and Samuel Ang Rong En (Fullerton Law Chambers LLC) for the applicant in SUM 125 and the respondent in OA 26 Chua Xinying and Chia Su Min, Rebecca (Allen & Gledhill LLP) for the applicant in OA 26 Justin Yip Yung Keong, Lam Zhen Yu and Wong Sze Qi (Withers KhattarWong LLP) for the non-party Shanghai Ran Yu Lian Trading Co Ltd Pillai Pradeep G, Lin Shuling Joycelyn and Chong Wei Jie (PRP Law LLC) for the non-party Orient Nickel Pte Ltd Lee Ping and Yong Ying Jie (Shook Lin & Bok LLP) for the non-party Yang Mingdong."
[2024] SGHC 128,Criminal Procedure and Sentencing – Sentencing,2024,https://www.elitigation.sg/gd/s/2024_SGHC_128,4555,41,Valerie Thean J,"Timotheus Koh, Delicia Tan and Joelle Loy (Attorney-General's Chambers) for the Prosecution Ramesh Chandr Tiwary (Ramesh Tiwary Advocates & Solicitors) for the accused."
[2024] SGHC(A) 17,Companies — Oppression — Minority shareholders ,2024,https://www.elitigation.sg/gd/s/2024_SGHCA_17,39415,436,Woo Bih Li JAD,"Koh Swee Yen SC, Tiong Teck Wee, Quek Yi Zhi Joel (Guo Yizhi), Hannah Lee Ming Shan, Wong Yan Yee, Claire Lim, Axl Rizqy and Shawn Ang De Xian (WongPartnership LLP) for Mustaq Ahmad @ Mushtaq Ahmad s/o Mustafa and Ishret Jahan Chia Ming Yee Doreen (Xie Minyi) (Rajah & Tann Singapore LLP) for Iqbal Ahmad Sarbjit Singh Chopra, Loh Weijie Leonard, Roshan Singh Chopra and Yuen Zi Gui (Selvam LLC) for Fayyaz Ahmad and Ansar Ahmad Davinder Singh SC, Jaikanth Shankar, Sngeeta Rai, Tan Ruo Yu, Bryan Wong and Irina Golovkovskaya (Davinder Singh Chambers LLC) (instructed), Singh Purain Darshan, Avtar Ranee Kaur Purain and Vanisha Ishwar Chandiramani (Darshan & Teo LLP) for Ayaz Ahmed, Khalida Bano, Ishtiaq Ahmad, Maaz Ahmad Khan, Wasela Tasneem and Asia Mohamad Mustafa & Samsuddin Co Pte Ltd's attendance dispensed with."
[2024] SGHCF 21,"Family Law — Matrimonial assets — Division — Dual-income and single-income marriage
, Family Law — Matrimonial assets — Division — Application of structured approach in ANJ v ANK",2024,https://www.elitigation.sg/gd/s/2024_SGHCF_21,12094,111,Mavis Chionh Sze Chyi J,"Chiok Beng Piow, Tan Wei En (AM Legal LLC) and Chuah Hui Fen Christine (D'Bi An LLC) for the appellant in HCF/DCA 89/2023 and the respondent in HCF/DCA 90/2023 Cheong Zhihui Ivan and Imogen Myfanwy Joan Harvey (Withers KhattarWong LLP) for the appellant in HCF/DCA 90/2023 and the respondent in HCF/DCA 89/2023."
[2024] SGCA 15,"Tort — Misrepresentation
, Evidence — Proof of evidence — Onus of proof, Conflict of Laws — Choice of law — Corporations, Companies — Incorporation of companies — Lifting corporate veil",2024,https://www.elitigation.sg/gd/s/2024_SGCA_15,4838,62,Tay Yong Kwang JCA,"Tan Jun Hong (D'Bi An LLC) (instructed counsel) and Wong Thai Yong (Wong Thai Yong LLC) for the appellant Daniel Soo, Cumara Kamalacumar and Luis Inaki Duhart (Selvam LLC) for the respondent."
