CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2021] SGHC 273,"Criminal Procedure and Sentencing — Sentencing — Principles

 
, Criminal Procedure and Sentencing — Sentencing — Sentencing frameworks",2021,https://www.elitigation.sg/gd/s/2021_SGHC_273,8669,72,Sundaresh Menon CJ,Isaac Riko Chua and Genesa Tan (Tembusu Law LLC) for the appellant Cheng Yuxi and Tan Pei Wei (Attorney-General's Chambers) for the respondent.
[2021] SGHC 270,Civil Procedure — Costs — Personal liability of solicitor for costs ,2021,https://www.elitigation.sg/gd/s/2021_SGHC_270,6525,48,Ang Cheng Hock J,"Ravi s/o Madasamy (K K Cheng Law LLC) for the plaintiffs Tan Chee Meng SC, Leo Zhen Wei Lionel, Deya Shankar Dubey and Vishi Sundar (WongPartnership LLP) for the defendant."
[2021] SGHC 272,"Intellectual Property — Copyright — Parallel imports, Intellectual Property — Trade marks and trade names — Passing off 
, Intellectual Property — Trade marks and trade names — Parallel imports, Intellectual Property — Copyright — Infringement — Primary infringement, Intellectual Property — Copyright — Infringement — Secondary infringement, Intellectual Property — Trade marks and trade names — Defences — Descriptive use",2021,https://www.elitigation.sg/gd/s/2021_SGHC_272,26593,232,Mavis Chionh Sze Chyi J,"Lim Ying Sin Daniel (Joyce A. Tan & Partners LLC) (instructed), Ch'ng Chin Leong James and Tan Sher Meen (A. Ang, Seah & Hoe) for the plaintiffs Koh Chia Ling and Quek Yong Zhi Timothy (OC Queen Street LLC) (instructed), Tan Guodong and Bryan Soon Wei (Ella Cheong LLC) for the defendant."
[2021] SGHC 271,"Arbitration — Award — Recourse against award — Setting aside, Arbitration — Award — Recourse against award — Whether new grounds may be raised in subsequent affidavits in support of a setting-aside application 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_271,20202,147,S Mohan J,"Alvin Yeo Khirn Hai SC, Koh Swee Yen, Quek Yi Zhi, Joel (Guo Yizhi) and Kweh Ghee Kian (WongPartnership LLP) for the plaintiffs in HC/OS 1401/2019 and HC/OS 874/2020 and the defendants in HC/OS 1274/2020 and HC/OS 1275/2020 Chew Kei-Jin and Lam Yan-Ting Tyne (Ascendant Legal LLC) for the defendants in HC/OS 1401/2019 and HC/OS 874/2020 and the plaintiffs in HC/OS 1274/2020 and HC/OS 1275/2020."
[2021] SGCA 113,"Criminal Procedure and Sentencing — Sentencing 
, Criminal Law — Statutory offences — Misuse of Drugs Act, Criminal Procedure and Sentencing — Statements — Voluntariness",2021,https://www.elitigation.sg/gd/s/2021_SGCA_113,6128,80,Steven Chong JCA,"Cheong Jun Ming Mervyn (Advocatus Law LLP) and Subir Singh Grewal (Aequitas Law LLP) for the appellant in CA/CCA 1/2021Kishan Pratap (Kishan Law Chambers LLC) and Nirmal Singh s/o Fauja Singh (CrossBorders LLC) for the appellant in CA/CCA 2/2021The appellant in CA/CCA 3/2021 in personTerence Chua and Samuel Yap (Attorney-General's Chambers) for the respondent in CA/CCA 1/2021, CA/CCA 2/2021 and CA/CCA 3/2021."
[2021] SGCA 114,"Civil Procedure - Appeals - Leave, Civil Procedure - Extension of time",2021,https://www.elitigation.sg/gd/s/2021_SGCA_114,3916,43,Judith Prakash JCA,"Oon Guohao Jonathan, Tng Sheng Rong, Marissa Zhao Yunan and Low Weng Hong (Rajah & Tann Singapore LLP) for the applicant Eng Zixuan Edmund, Brinden Anandakumar and Chang Chee Jun (Fullerton Law Chambers LLC) for the respondent."
[2021] SGHC(A) 21,"Civil Procedure — Pleadings, Contract — Illegality and public policy — Statutory illegality, Credit and Security — Money and moneylenders — Illegal moneylending 
",2021,https://www.elitigation.sg/gd/s/2021_SGHCA_21,2864,49,See Kee Oon J,Derek Kang Yu Hsien and Lim Shi Zheng Lucas (Cairnhill Law LLC) for the appellant Yeoh Oon Weng Vincent and Yeoh Su Ann (Malkin & Maxwell LLP) for the respondent.
[2021] SGHC 269,"Criminal Law — Statutory offences — Section 8(b)(ii) of the Misuse of Drugs Act (Cap 185, 2008 Rev Ed), Constitutional Law — Liberty of the person — Article 9(1) of the Constitution of the Republic of Singapore (1985 Rev Ed, 1999 Reprint)
, Constitutional Law — Equal protection of the law — Article 12(1) of the Constitution of the Republic of Singapore (1985 Rev Ed, 1999 Reprint)",2021,https://www.elitigation.sg/gd/s/2021_SGHC_269,4891,44,Vincent Hoong J,Ravi s/o Madasamy (K K Cheng Law LLC) for the appellant Kavitha Uthrapathy and Angela Ang (Attorney-General's Chambers) for the respondent.
[2021] SGCA 112,"Civil Procedure — Inherent powers, Arbitration — Arbitrability and public policy, Companies — Winding up — Liquidators' remuneration, Civil Procedure — Jurisdiction — Functus officio
",2021,https://www.elitigation.sg/gd/s/2021_SGCA_112,13781,147,Steven Chong JCA,"Lee Eng Beng SC, Chew Xiang and Cheong Tian Ci, Torsten (Rajah & Tann Singapore LLP) for the appellantShobna Chandran, Yong Manling Jasmine and Muhammad Taufiq bin Suraidi (Tan Rajah & Cheah) for the respondent."
[2021] SGCA 111,"Damages — Quantum, Damages — Assessment, Damages — Measure of damages — Personal injuries cases — Life expectancy, Damages — Measure of damages — Personal injuries cases — Loss of earnings, Damages — Measure of damages — Personal injuries cases — Pain and suffering damages, Damages — Measure of damages — Personal injuries cases — Aggravated and punitive damages",2021,https://www.elitigation.sg/gd/s/2021_SGCA_111,27418,0,Andrew Phang Boon Leong JCA,"Vijay Kumar Rai and Jasleen Kaur (Arbiters Inc Law Corporation) for the appellants Kuah Boon Theng SC, Yong Kailun Karen and Samantha Oei Jia Hsia (Legal Clinic LLC) for the respondent."
[2021] SGHC(A) 20,"Credit And Security — Mortgage of real property — Order for possession
 
, Civil Procedure — Summary judgment — Triable issue under Orders 14 and 83 of the Rules of Court",2021,https://www.elitigation.sg/gd/s/2021_SGHCA_20,788,10,Quentin Loh JAD,Dhanwant Singh and C Selvaraj (S K Kumar Law Practice LLP) for the appellants Koh Yeong Hung Sasha (Adsan Law LLC) for the respondent.
[2021] SGHC 263,Equity — Remedies — Account,2021,https://www.elitigation.sg/gd/s/2021_SGHC_263,7037,103,Andre Maniam J,"Chia Jin Chong Daniel, Tan Ei Leen and Nicole Thong Wen Teng (Coleman Street Chambers LLC) for the plaintiff Walter Ferix Silvester and Tan Hoe Shuen (Silvester Legal LLC) for the first defendant."
[2021] SGHC 268,"Gifts — Inter vivos, Trusts — Quistclose trusts, Restitution — Unjust enrichment, Contract — Intention to create legal relations, Gifts — Presumptions against — Resulting trusts, Trusts — Resulting trusts — Presumed resulting trusts 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_268,8658,95,Philip Jeyaretnam J,"Lok Vi Ming SC and Qabir Sandhu (LVM Chambers LLC) (instructed), Chong Xin Yi and Tan Lena (Chen Lina) (Gloria James-Civetta & Co) for the plaintiff Gregory Vjayendran SC (Rajah & Tann Singapore LLP) (instructed), Lee Ee Yang and Lua Wei Liang Wilbur (Covenant Chambers LLC) for the defendant."
[2021] SGHC(I) 15,Arbitration — Arbitral tribunal — Jurisdiction,2021,https://www.elitigation.sg/gd/s/2021_SGHCI_15,9512,0,Kannan Ramesh J,"Francis Xavier s/o Subramaniam Xavier Augustine SC, Avinash Vinayak Pradhan, Tan Hua Chong, Edwin (Chen Huacong) and Gani Hui Ying, Tracy (Rajah & Tann Singapore LLP) for the plaintiff Vergis S Abraham SC, Zhuo Jiaxiang and Asiyah Binte Ahmad Arif (Providence Law Asia LLC) for the defendant."
[2021] SGCA 110,Criminal law — Statutory offences — Misuse of Drugs Act,2021,https://www.elitigation.sg/gd/s/2021_SGCA_110,9956,90,Andrew Phang Boon Leong JCA,"Kalidass s/o Murugaiyan and Ashvin Hariharan (Kalidass Law Corporation) and Ashwin Ganapathy (I.R.B Law LLP) for the appellant in CA/CCA 38/2020Rajan Sanjiv Kumar (Allen & Gledhill LLP), Suang Wijaya (Eugene Thuraisingam LLP) and Shabira Banu d/o Abdul Kalam Azad (K Ravi Law Corporation) for the appellant in CA/CCA 39/2020The appellant in CA/CCA 40/2020 in personJohn Lu, Chin Jincheng and Jotham Tay (Attorney-General's Chambers) for the respondent in CA/CCA 38/2020, CA/CCA 39/2020 and CA/CCA 40/2020."
[2021] SGHCR 9,"Arbitration – Agreement – Scope, Arbitration – Stay of Court Proceedings
",2021,https://www.elitigation.sg/gd/s/2021_SGHCR_9,2028,27,Justin Yeo AR,"Mr Walter Silvester, Mr Gilbert Chng and Mr Tan Hoe Shuen (M/s Silvester Legal LLC) for the Plaintiff. Mr Kelvin Poon and Mr Timothy Ang (M/s Rajah & Tann Singapore LLP) for the Defendant."
[2021] SGHC 267,"Family Law — Advancement — Presumption
 
, Trusts — Constructive trusts — Common intention constructive trusts, Equity — Remedies — Equitable accounting — Contributions of co-owner made without prior agreement, Land — Interest in land — Joint tenancy — Whether in equity parties joint tenants or tenants in common, Trusts — Resulting trusts — Presumed resulting trusts — Contributions giving rise to presumption of resulting trust",2021,https://www.elitigation.sg/gd/s/2021_SGHC_267,8785,81,Philip Jeyaretnam J,"Rabi Ahmad s/o M Abdul Ravoof and Joshua Chow Shao Wei (IRB Law LLP) for the plaintiffs Koh Choon Guan Daniel, Clarence Cheang Wei Ming and Raheja Jamaluddin (Eldan Law LLP) for the defendant."
[2021] SGHC 266,"Contract — Mistake, Misrepresentation — Negligent, Restitution — Unjust enrichment, Misrepresentation — Fraudulent — Remedies, Employment Law — Contract of service — Breach, Contract — Contractual terms — Breach — Damages",2021,https://www.elitigation.sg/gd/s/2021_SGHC_266,17280,140,Audrey Lim J,"Chelva Retnam Rajah SC, Eusuff Ali s/o N B M Mohamed Kassim and Joseph Tham Chee Ming (Tan Rajah & Cheah) for the plaintiff Davinder Singh s/o Amar Singh SC, Pardeep Singh Khosa, Stanley Tan Jun Hao and Jaspreet Singh Sachdev (Davinder Singh Chambers LLC) for the defendant."
[2021] SGHC 265,"Civil Procedure — Summary judgment — Leave to defend, Contract — Illegality and public policy — Contracts procured by bribery, Credit And Security — Guarantees and indemnities — Enforcement of guarantee procured by bribery 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_265,3270,29,Philip Jeyaretnam J,Namazie Mirza Mohamed and Tay Jing En (Mallal & Namazie) for the plaintiff Satwant Singh s/o Sarban Singh (Satwant & Associates) for the first and second defendants The third defendant in person.
[2021] SGHC(A) 19,"Family Law — Matrimonial assets — Division, Family Law — Matrimonial assets — Gifts  
",2021,https://www.elitigation.sg/gd/s/2021_SGHCA_19,3760,36,See Kee Oon J,"Chiok Beng Piow (AMLegal LLC) (instructed), Anna Oei and Friedrich Heng for the appellant Yap Teong Liang and Tan Hui Qing (TL Yap Law Chambers LLC) (instructed), Lee Yuan Yu and Chen Yiyang (Tan Kim Seng & Partners) for the respondent."
[2021] SGCA 109,"Civil Procedure - Parties - Joinder, Companies - Statutory derivative action",2021,https://www.elitigation.sg/gd/s/2021_SGCA_109,4366,38,Judith Prakash JCA,"Daniel Chia Hsiung Wen and Wong Ru Ping Jeanette(Morgan Lewis Stamford LLC) for the appellant Tnee Zixian, Keith (Zheng Zixian) (Tan Kok Quan Partnership)for the first respondents (watching brief) Hing Shan Shan Blossom, Kwek Choon Yeow Julian, Kiu Yan Yu and Tan Yi Yin Amy (Drew & Napier LLC)for the second respondent."
[2021] SGHC(A) 18,Civil Procedure - Foreign judgments,2021,https://www.elitigation.sg/gd/s/2021_SGHCA_18,3223,34,Belinda Ang Saw Ean JAD,"Poon Guokun Nicholas, Chan Michael Karfai and Tan Zhi Min Ashton (Breakpoint LLC) for the appellant Ng Yeow Khoon and Claudia Marianne Frankie Khoo (Shook Lin & Bok LLP) for the respondent."
[2021] SGHC(A) 17,"Employment Law — Pay — Dismissal, Employment Law — Pay — Annual wage supplement
, Employment Law — Contract of service — Termination without notice",2021,https://www.elitigation.sg/gd/s/2021_SGHCA_17,1441,15,Chua Lee Ming J,Goh Kim Thong Andrew (De Souza Lim & Goh LLP) for the appellant in CA 59/2021 and respondent in CA 60/2021 Francis Chan Wei Wen and Alexius Chew Hui Jun (Titanium Law Chambers LLC) for the appellant in CA 60/2021 and respondent in CA 59/2021.
[2021] SGHC 260,"Land — Strata titles — Common property, Land — Strata titles — Strata Titles Board",2021,https://www.elitigation.sg/gd/s/2021_SGHC_260,2966,45,Andre Maniam J,Hong Heng Leong and Noh Bin Abd Hamid (Just Law LLC) for the applicant Phone Ko Canaan and Lim Kian Leng Malcolm (Tan & Lim) for the respondent.
[2021] SGCA 108,Criminal Procedure and Sentencing - Sentencing - Appeal,2021,https://www.elitigation.sg/gd/s/2021_SGCA_108,974,10,Judith Prakash JCA,The appellant in person Dwayne Lum Wen Yi and Rimplejit Kaur (Attorney-General's Chambers) for the respondent.
[2021] SGCA 107,Legal Profession - Disciplinary proceedings,2021,https://www.elitigation.sg/gd/s/2021_SGCA_107,16218,159,Judith Prakash JCA,Ravi s/o Madasamy (K K Cheng Law LLC) for the appellant P Padman (KSCGP Juris LLP) for the respondent.
[2021] SGHC(I) 13,Arbitration — Award — Recourse against award — Setting aside,2021,https://www.elitigation.sg/gd/s/2021_SGHCI_13,26821,361,Patricia Bergin IJ,"Toby Landau QC and Liang Hanwen Calvin (Duxton Hill Chambers (Singapore Group Practice)) (instructed), Yu Kexin (Yu Law) (instructed), Tnee Zixian Keith (Zheng Zixian), Chin Wan Yew Rachel, Leong Lijie and Teo Jin Yun Germaine (Tan Kok Quan Partnership) for the applicant Davinder Singh s/o Amar Singh SC, Jaikanth Shankar, Fong Cheng Yee David and Gerald Paul Seah Yong Sing (Davinder Singh Chambers LLC) for the respondent."
[2021] SGHC(I) 14,Civil Procedure — Injunctions — Anti-suit injunctions ,2021,https://www.elitigation.sg/gd/s/2021_SGHCI_14,10701,0,Unknown,"Woo Shu Yan, Tay Hong Zhi Gerald and Regina Lim (Drew & Napier LLC) for the plaintiff Thio Shen Yi SC, Justin Ee and Kevin Elbert (TSMP Law Corporation) (instructed), Chong Pao Lan Monica, Vithiya d/o Rajendra, Wong Zheng Hui Daryl, Wang Yufei and Daryl Kwok Wai Tat (Guo Weide) (WongPartnership LLP) for the defendants."
[2021] SGHC 261,Criminal Procedure and Sentencing — Sentencing — Principles,2021,https://www.elitigation.sg/gd/s/2021_SGHC_261,8608,73,Sundaresh Menon CJ,Chooi Jing Yen and Joel Wong En Jie (Eugene Thuraisingam LLP) for the appellant Winston Man and Norine Tan (Attorney-General's Chambers) for the respondent Cheong Tian Ci Torsten (Rajah & Tann Singapore LLP) as young amicus curiae.
[2021] SGHC 262,"Contract — Breach, Companies — Directors — Duties, Companies — Directors — Remuneration, Tort — Conspiracy — Unlawful means conspiracy 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_262,19567,0,Tan Siong Thye J,"Beh Eng Siew, Low Yu Xuan (Lu Yuxuan) and Shaun Sim Yong Zhao (Shen Yongzhao) (Lee Bon Leong & Co) for the plaintiff and third parties Joseph Ignatius and Suja Susan Thomas d/o B Thomas (Ignatius J & Associates) for the defendants."
[2021] SGHC 259,"Constitutional Law — Judicial power, Constitutional Law — Equal protection of the law, Criminal Procedure and Sentencing — Sentencing — Mandatory treatment order",2021,https://www.elitigation.sg/gd/s/2021_SGHC_259,10751,82,Unknown,Ravi s/o Madasamy (K K Cheng Law LLC) for the appellant Lee Zu Zhao and Niranjan Ranjakunalan (Attorney-General's Chambers) for the respondent.
[2021] SGCA 106,Criminal Procedure and Sentencing — Sentencing — Principles,2021,https://www.elitigation.sg/gd/s/2021_SGCA_106,4210,41,Andrew Phang Boon Leong JCA,"The appellant in person David Khoo, Chong Kee En, Samyata Ravindran and Nikhil Coomaraswamy (Attorney-General's Chambers) for the respondent Hiew E-Wen Joshua (Allen & Gledhill LLP) as young amicus curiae."
[2021] SGCA 105,"Family Law — Maintenance — Wife, Family Law — Matrimonial assets — Division",2021,https://www.elitigation.sg/gd/s/2021_SGCA_105,2784,35,Andrew Phang Boon Leong JCA,"The appellant in person Wong Soo Chih, Tan Yong Quan and Nicholas Roshan Rai (Lai Jinjie) (SC Wong Law Chambers LLC) for the respondent."
[2021] SGHC 257,"Civil Procedure — Stay of proceedings, Civil Procedure — Jurisdiction — Submission, Conflict of Laws — Choice of jurisdiction — Exclusive 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_257,21642,151,Mavis Chionh Sze Chyi J,"Tan Gim Hai Adrian, Yeoh Jean Ann, Kim Shi Yin, Feng Chong We, Kwoh Ji Wei and Wong Ling Yun (TSMP Law Corporation) for the plaintiff Siew Guo Wei (Shao Guowei), Joseph Lim Weisheng and Foo Zhi Wei (Tan Kok Quan Partnership) for the first to third defendants in HC/S 951/2020 and the defendants in HC/OS 138/2021."
[2021] SGHC 258,"Legal Profession — Disciplinary proceedings — Holding disciplinary proceedings in abeyance
 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_258,2283,21,Sundaresh Menon CJ,"Eugene Singarajah Thuraisingam and Johannes Hadi (Eugene Thuraisingam LLP) for the applicant Dinesh Dhillon Singh, Loong Tse Chuan and Alisa Toh Qian Wen (Allen & Gledhill LLP) for the respondent."
[2021] SGHC 255,Criminal law — Statutory offences — Misuse of Drugs Act ,2021,https://www.elitigation.sg/gd/s/2021_SGHC_255,10448,93,Audrey Lim J,"Chin Jincheng, Chong Yong and Benedict Chan Wei Qi (Attorney General's Chambers) for the Prosecution Mahadevan Lukshumayeh (Lukshumayeh Law Corporation) and Josephine Iezu Costan (David Nayar and Associates) for the accused."
[2021] SGHC 256,"Intellectual Property — Law of confidence — Duty of confidence, Intellectual Property — Law of confidence — Remedies — Damages, Intellectual Property — Law of confidence — Breach of confidence, Intellectual Property — Law of confidence — Remedies — Injunctions 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_256,14084,123,Kwek Mean Luck JC,"Kanapathi Pillai Nirumalan, Liew Teck Huat, Ow Jiang Meng Benjamin, Bryan Looy Chye Shen and Phang Cunkuang (Niru & Co LLC) for the plaintiff Alvin Yeo SC, Chang Man Phing, Gavin Neo Jia Cheng and Khoo Kiah Min Jolyn (WongPartnership LLP) for the first and fourth defendants Derek Kang Yu Hsien and Lim Shi Zheng Lucas (Cairnhill Law LLC) for the second and third defendants."
[2021] SGCA 104,Probate and Administration — Administration of assets,2021,https://www.elitigation.sg/gd/s/2021_SGCA_104,2411,22,Andrew Phang Boon Leong JCA,The appellant in person The respondents in person.
[2021] SGHC 227,"Civil Procedure-Pleadings, Banking-Lending and security, Conflict of Laws-Foreign arbitration-Issue estoppel, Agency-Principal-Holding out-Scope of representations in account-opening booklet, Contract-Illegality and public policy-Illegality under international and foreign law, Personal Property-Priorities-Time of attachment of security interest over assets in bank account-Bona fide purchaser for value without notice",2021,https://www.elitigation.sg/gd/s/2021_SGHC_227,32720,318,Vinodh Coomaraswamy J,"Vinodh Coomaraswamy Judge of the High Court   Alvin Yeo SC, Chou Sean Yu, Lionel Leo, Yu Kanghao, Alvin Tan, Dennis Saw and Daryl Kwok (WongPartnership LLP) for the plaintiff William Ong, Fay Fong, Melissa Mak, Wong Pei Ting and Dion Loy (Allen & Gledhill LLP) for the second defendant Chew Kei-Jin, Stephanie Tan and Lee Ji En (Ascendant Legal LLC) for the third defendant The first defendant absent and unrepresented."
[2021] SGCA 103,"Criminal Procedure and Sentencing — Disclosure 
, Criminal Law — Statutory offences — Misuse of Drugs Act, Criminal Procedure and Sentencing — Statements — Admissibility",2021,https://www.elitigation.sg/gd/s/2021_SGCA_103,17132,186,Sundaresh Menon CJ,"Andre Darius Jumabhoy, Low Ying Ning Elaine and Priscilla Chia Wen Qi (Peter Low & Choo LLC) for the appellant in CA/CCA 29/2020 and the applicant in CA/CM 18/2021 Hri Kumar Nair SC, Francis Ng Yong Kiat SC, Jiang Ke-Yue, Senthilkumaran s/o Sabapathy, Jaime Pang and Keith Jieren Thirumaran (Attorney-General's Chambers) for the respondent in CA/CCA 29/2020 and CA/CM 18/2021."
[2021] SGHC 254,Criminal Procedure and Sentencing — Sentencing — Principles,2021,https://www.elitigation.sg/gd/s/2021_SGHC_254,8270,74,Sundaresh Menon CJ,"Markus Kng and Caryn Lee (I.R.B. Law LLP) for the appellant Adrian Loo, Regina Lim and Theong Li Han (Attorney-General's Chambers) for the respondent See Kwang Guan (Dentons Rodyk & Davidson LLP) as young amicus curiae."
[2021] SGCA 102,Arbitration — Award — Recourse against award ,2021,https://www.elitigation.sg/gd/s/2021_SGCA_102,9553,76,Steven Chong JCA,"Thio Shen Yi SC, Neo Zhi Wei Eugene and Uday Duggal (TSMP Law Corporation) for the appellants Cavinder Bull SC, Lin Shumin and Amadeus Huang Zhen (Drew & Napier LLC) (instructed), Nicholas Jeyaraj s/o Narayanan (Nicholas & Tan Partnership LLP) for the respondent."
[2021] SGHCF 38,"Family Law — Matrimonial assets, Family Law — Maintenance — Child",2021,https://www.elitigation.sg/gd/s/2021_SGHCF_38,3271,32,Choo Han Teck J,Cheryl Cheong Siao Ling and Sara Binte Abdul Aziz (Gloria James-Civetta & Co) for the WifeThe Husband in person and unrepresented.
[2021] SGHC 253,"Trusts — Breach of trust — Remedies, Evidence — Admissibility of evidence — Hearsay — Section 32(1)(j)(iv) of the Evidence Act (Cap 97, 1997 Rev Ed)
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_253,5816,71,Philip Jeyaretnam J,"Cai Enhuai Amos, Tian Keyun and Yong Ying Jie (Yuen Law LLC) for the plaintiff Pang Khin Wee (Peng Qinwei) (Hoh Law Corporation) for the defendant."
[2021] SGHCF 37,"Family Law — Maintenance — Child, Family Law — Maintenance — Wife
",2021,https://www.elitigation.sg/gd/s/2021_SGHCF_37,2283,21,Debbie Ong J,"Kee Lay Lian, Shawn Teo Kai Jie (Rajah & Tann Singapore LLP) for the appellantLoo Ming Nee Bernice, Yam Hoe Soon Lester and Lim Wan Jen Melissa (Allen & Gledhill LLP) for the respondent."
[2021] SGHC 252,"Criminal Law — Offences — Murder, Criminal Law — Special exceptions — Provocation 
",2021,https://www.elitigation.sg/gd/s/2021_SGHC_252,14926,138,Dedar Singh Gill J,Not found
[2021] SGHC 251,"Criminal Law — Offences — Attempt to murder, Criminal Procedure and Sentencing — Sentencing — Principles",2021,https://www.elitigation.sg/gd/s/2021_SGHC_251,4147,49,Unknown,Hay Hung Chun and Zhou Yang (Attorney-General's Chambers) for the prosecution Victor David Lau Dek Kai and Lin QingXun (Drew & Napier LLC) for the accused.
[2021] SGHC 249,"Contract — Discharge — Rescission, Equity — Remedies — Rectification, Contract — Contractual terms — Condition precedent",2021,https://www.elitigation.sg/gd/s/2021_SGHC_249,9118,0,Andre Maniam J,"Lee Ee Yang, Wilbur Lua, Douglas Pang and Michelle Ong (Covenant Chambers LLC) for the plaintiffs Kelvin Poon, Devathas Satianathan and Cai Xiaohan (Rajah & Tann Singapore LLP) for the first defendant Fong Weng Khai (W K Fong & Co) for the second defendant."
[2021] SGHC 250,Contract — Formation — Consent,2021,https://www.elitigation.sg/gd/s/2021_SGHC_250,11736,138,Lai Siu Chiu SJ,Prabhakaran s/o Narayanan Nair and Anne Wong (Karan Nair and Co) for the plaintiff Luke Anton Netto and Chiam Jia-An (Netto & Magin LLC) for the defendant.
[2021] SGCA 101,Criminal Procedure and Sentencing — Reopening concluded decisions — Threshold ,2021,https://www.elitigation.sg/gd/s/2021_SGCA_101,16819,137,Sundaresh Menon CJ,Ng Yong Kiat Francis SC and Wong Woon Kwong (Attorney-General's Chambers) for the applicant Cheong Aik Chye (A C Cheong & Co) for the respondent in CA/CM 11/2020 A Revi Shanker s/o K Annamalai (ARShanker Law Chambers) for the respondent in CA/CM 12/2020 The respondent in CA/CM 13/2020 in person Gill Amarick Singh (Amarick Gill LLC) for the respondent in CA/CM 14/2020.
[2021] SGHC(A) 16,Civil Procedure — Pleadings — Amendment  ,2021,https://www.elitigation.sg/gd/s/2021_SGHCA_16,2052,25,Woo Bih Li JAD,"Nazim Khan, Kuan Chu Ching Connie and Kunal Haresh Mirpuri (UniLegal LLC) for the appellant Sim Jek Sok Disa, Cheong Tian Ci Torsten and Ou Wai Hung Shaun (Rajah & Tann Singapore LLP) for the respondent."
[2021] SGHC 248,Civil Procedure — Service — Service out of jurisdiction,2021,https://www.elitigation.sg/gd/s/2021_SGHC_248,3372,25,Choo Han Teck J,"Dhillon Dinesh Singh, Chee Yi Wen Serene (Allen & Gledhill LLP) for the plaintiffsAw Wen Ni, Ayagari Srikari Sanjana (WongPartnership LLP) for the defendant."
[2021] SGHC 246,"Tort — Misrepresentation — Inducement, Contract — Misrepresentation — Negligent, Contract — Misrepresentation — Fraudulent, Contract — Misrepresentation — Inducement, Tort — Misrepresentation — Fraud and deceit, Evidence — Admissibility of evidence — Hearsay, Contract — Misrepresentation Act — Section 2(1), Tort — Conspiracy — Unlawful means conspiracy
 
, Tort — Misrepresentation — Negligent misrepresentation",2021,https://www.elitigation.sg/gd/s/2021_SGHC_246,34962,0,Tan Siong Thye J,"Nair Suresh Sukumaran, Yeow Guan Wei Joel and Bhatt Chantik Jayesh (PK Wong & Nair LLC) for the plaintiffs Khan Nazim, Kuan Chu Ching and Kunal Haresh Mirpuri (UniLegal LLC) for the defendants."
[2021] SGHC 245,"Conflict of Laws — Jurisdiction, Conflict of Laws — Natural forum, Civil Procedure — Jurisdiction — Inherent",2021,https://www.elitigation.sg/gd/s/2021_SGHC_245,26282,195,Ang Cheng Hock J,"Toh Kian Sing SC, Lin Yong'en Nathanael, Wu Junneng and Marcus Chiang Mun Leong (Rajah & Tann Singapore LLP) for the plaintiff Khoo Boo Teck Randolph, Liu Chenghan Aloysius and Chan Jian Da (Drew & Napier LLC) for the defendant."
[2021] SGHC 247,Contract,2021,https://www.elitigation.sg/gd/s/2021_SGHC_247,295,3,Choo Han Teck J,"Vijay Kumar Rai, Gursharn Gill Singh s/o Amar Singh and Jasleen Kaur (Arbiters Inc Law Corporation) for the plaintiffKuah Boon Theng SC, Samantha Oei Jia Hsia and Cheong Le Yue Jess (Legal Clinic LLC) for the defendantLim Wan Ting Tracia and Tay Kai Lin Brenda (Charles Lin LLC) (watching brief)."
[2021] SGCA 100,"Companies — Directors — Duties, Civil Procedure — Summary judgment, Civil Procedure — Costs — Indemnity costs",2021,https://www.elitigation.sg/gd/s/2021_SGCA_100,6044,40,Andrew Phang Boon Leong JCA,"Davinder Singh s/o Amar Singh SC, Jaikanth Shankar, Lo Ying Xi John and Gerald Paul Seah Yong Sing (Davinder Singh Chambers LLC) for the appellants Narayanan Sreenivasan SC, Rajaram Muralli Raja, Arias Lim Jie, Lim Wei Liang Jason and Ranita Yogeeswaran (K&L Gates Straits Law LLC) for the respondent."
[2021] SGHC 228,"Contract — Breach, Equity — Conversion, Contract — Misrepresentation, Restitution — Unjust enrichment, Tort — Misrepresentation — Fraud and deceit",2021,https://www.elitigation.sg/gd/s/2021_SGHC_228,6236,90,Andre Maniam JC,"Julian Tay, Anthony Wong and Linus Lin (Lee & Lee) for the plaintiff Defendant in person."
[2021] SGCA 99,"Admiralty and Shipping — Bills of lading
, Arbitration — Stays — Conditional Stays — When conditions imposed",2021,https://www.elitigation.sg/gd/s/2021_SGCA_99,4607,44,Steven Chong JCA,"Bazul Ashhab bin Abdul Kader, Prakaash s/o Paniar Silvam, Tan Yu Hang and Levin Lin Lok Yan (Oon & Bazul LLP) for the appellantCai Jianye Edwin and Dawn Tan Si Jie (AsiaLegal LLC) for the respondent."
